"","X."
"Macroscelides_proboscideus",40
"Madoqua_guentheri",4550
"Madoqua_kirkii",4876.67
"Madoqua_saltiana",3250
"Makalata_armata",276
"Malacothrix_typica",12.33
"Mandrillus_leucophaeus",9087.5
"Mandrillus_sphinx",11916.67
"Manis_crassicaudata",3900
"Manis_gigantea",33000
"Manis_javanica",5150
"Manis_pentadactyla",2350
"Manis_temminckii",7230
"Manis_tetradactyla",2750
"Manis_tricuspis",1480
"Marmota_broweri",3180
"Marmota_caligata",6343.33
"Marmota_caudata",4100
"Marmota_flaviventris",2930
"Marmota_marmota",2010
"Marmota_monax",3413
"Marmota_olympus",6300
"Marmota_sibirica",8000
"Marmota_vancouverensis",4750
"Martes_americana",606.67
"Martes_flavigula",2500
"Martes_foina",1700
"Martes_martes",1300
"Martes_pennanti",2600
"Martes_zibellina",1066.67
"Massoutiera_mzabi",194
"Mastomys_erythroleucus",37.77
"Mastomys_natalensis",44.97
"Mazama_americana",23000
"Mazama_gouazoupira",16650
"Mazama_rufina",8200
"Megadontomys_thomasi",111
"Megaptera_novaeangliae",3e+07
"Meles_meles",13000
"Mellivora_capensis",10000
"Melogale_personata",2000
"Melomys_burtoni",62
"Melomys_capensis",65
"Melomys_cervinipes",94
"Melomys_leucogaster",96
"Melomys_levipes",81.6
"Melomys_moncktoni",89.8
"Melomys_rubex",45.9
"Melomys_rufescens",57.4
"Melursus_ursinus",1e+05
"Mephitis_macroura",965
"Mephitis_mephitis",1821.25
"Meriones_crassus",48.3
"Meriones_hurrianae",70
"Meriones_libycus",77
"Meriones_meridianus",53
"Meriones_persicus",100
"Meriones_shawi",185
"Meriones_tristrami",105
"Meriones_unguiculatus",53.2
"Meriones_vinogradovi",150
"Mesembriomys_gouldii",900
"Mesembriomys_macrurus",268.5
"Mesocricetus_auratus",105
"Mesocricetus_brandti",197.5
"Mesoplodon_bidens",3400000
"Mesoplodon_carlhubbsi",1500000
"Mesoplodon_densirostris",1050000
"Microcavia_australis",350
"Microcebus_coquereli",306.67
"Microcebus_murinus",71
"Microcebus_rufus",69
"Microdipodops_megacephalus",13.45
"Microdipodops_pallidus",13.55
"Microgale_dobsoni",37.8
"Microgale_talazaci",48.1
"Micromys_minutus",6
"Micropotamogale_lamottei",69.6
"Microtus_abbreviatus",50
"Microtus_agrestis",46
"Microtus_arvalis",27.5
"Microtus_breweri",54
"Microtus_californicus",53.5
"Microtus_canicaudus",35.3
"Microtus_chrotorrhinus",39
"Microtus_fortis",63
"Microtus_gregalis",47.5
"Microtus_guentheri",51.6
"Microtus_longicaudus",36.7
"Microtus_mexicanus",35
"Microtus_miurus",39.5
"Microtus_montanus",49.5
"Microtus_montebelli",39.85
"Microtus_ochrogaster",40
"Microtus_oeconomus",93.33
"Microtus_oregoni",20.5
"Microtus_pennsylvanicus",43.67
"Microtus_pinetorum",25.5
"Microtus_richardsoni",106.2
"Microtus_socialis",48
"Microtus_subterraneus",19.5
"Microtus_townsendii",54.8
"Microtus_xanthognathus",141.5
"Millardia_meltada",70
"Miopithecus_talapoin",1093.33
"Mirounga_angustirostris",716666.67
"Mirounga_leonina",579400
"Monachus_monachus",275000
"Monachus_schauinslandi",173000
"Monodon_monoceros",9e+05
"Moschiola_meminna",2450
"Moschus_berezovskii",10900
"Moschus_chrysogaster",11000
"Moschus_moschiferus",12500
"Mungos_mungo",1331.5
"Mungotictis_decemlineata",700
"Muntiacus_muntjak",14000
"Muntiacus_reevesi",12000
"Mus_booduga",9.22
"Mus_caroli",11.25
"Mus_cervicolor",17.7
"Mus_minutoides",7.25
"Mus_musculoides",6
"Mus_musculus",20.5
"Mus_platythrix",28.2
"Mus_spretus",12.8
"Mus_triton",12.45
"Muscardinus_avellanarius",27.33
"Mustela_altaica",171
"Mustela_erminea",110.33
"Mustela_eversmannii",1350
"Mustela_frenata",150.6
"Mustela_lutreola",440
"Mustela_nigripes",809
"Mustela_nivalis",49.75
"Mustela_putorius",588.67
"Mustela_sibirica",405
"Mustela_vison",899.75
"Myocastor_coypus",7150
"Myomys_daltoni",33.5
"Myomys_derooi",32
"Myomys_fumatus",30
"Myoprocta_acouchy",775
"Myopus_schisticolor",25
"Myosciurus_pumilio",16.5
"Myosorex_cafer",13
"Myosorex_varius",11
"Myoxus_glis",125
"Myrmecophaga_tridactyla",28500
"Mystromys_albicaudatus",106
"Naemorhedus_crispus",30000
"Naemorhedus_goral",27666.67
"Naemorhedus_sumatraensis",87500
"Nandinia_binotata",1900
"Nannospalax_leucodon",178
"Napaeozapus_insignis",21.33
"Nasalis_larvatus",9462.6
"Nasua_narica",3750
"Nasua_nasua",4750
"Neacomys_tenuipes",19
"Nectomys_parvipes",257.5
"Nectomys_squamipes",290
"Neofelis_nebulosa",19500
"Neofiber_alleni",269
"Neomys_anomalus",16
"Neomys_fodiens",14.32
"Neophoca_cinerea",79633.33
"Neophocaena_phocaenoides",32500
"Neotoma_albigula",198
"Neotoma_cinerea",335.5
"Neotoma_devia",96.7
"Neotoma_floridana",370.5
"Neotoma_fuscipes",233.58
"Neotoma_lepida",125.33
"Neotoma_mexicana",203
"Neotoma_micropus",236.33
"Neotoma_phenax",227.5
"Neotoma_stephensi",142
"Neotomodon_alstoni",50
"Neotragus_batesi",2500
"Neotragus_moschatus",7166.67
"Nesokia_indica",143.5
"Neurotrichus_gibbsii",10
"Niviventer_niviventer",66.4
"Notiosorex_crawfordi",4.15
"Notomys_alexis",35
"Notomys_aquilo",39
"Notomys_cervinus",35
"Notomys_fuscus",35
"Notomys_mitchellii",52
"Nyctereutes_procyonoides",4232
"Nycticebus_coucang",966.2
"Nycticebus_pygmaeus",307
"Nyctomys_sumichrasti",53.33
"Ochotona_collaris",129
"Ochotona_dauurica",128
"Ochotona_macrotis",167
"Ochotona_princeps",140.2
"Ochotona_roylei",115
"Ochotona_rufescens",250
"Ochrotomys_nuttalli",22
"Octodon_degus",235
"Octodontomys_gliroides",158
"Odobenus_rosmarus",650000
"Odocoileus_hemionus",55766.67
"Odocoileus_virginianus",59500
"Oecomys_concolor",60.67
"Oenomys_hypoxanthus",85.5
"Okapia_johnstoni",287500
"Oligoryzomys_flavescens",21
"Oligoryzomys_longicaudatus",27.75
"Oligoryzomys_nigripes",22.65
"Ommatophoca_rossii",187666.67
"Oncifelis_colocolo",2950
"Oncifelis_geoffroyi",4000
"Ondatra_zibethicus",1135.8
"Onychomys_leucogaster",40
"Onychomys_torridus",19
"Orcaella_brevirostris",190000
"Orcinus_orca",4300000
"Oreamnos_americanus",82350
"Oreotragus_oreotragus",13000
"Orthogeomys_cherriei",225
"Orthogeomys_hispidus",650
"Orycteropus_afer",60000
"Oryctolagus_cuniculus",1558.25
"Oryx_dammah",177500
"Oryx_gazella",195000
"Oryx_leucoryx",121350
"Oryzomys_capito",63.15
"Oryzomys_palustris",47.67
"Oryzomys_subflavus",7.5
"Otaria_byronia",140000
"Otocolobus_manul",3500
"Otocyon_megalotis",4150
"Otolemur_crassicaudatus",1143.33
"Otolemur_garnettii",731.33
"Otomys_angoniensis",150.95
"Otomys_irroratus",146.85
"Otomys_sloggetti",121
"Ototylomys_phyllotis",101
"Ourebia_ourebi",17500
"Ovibos_moschatus",258000
"Ovis_ammon",180000
"Ovis_aries",50000
"Ovis_canadensis",68166.67
"Ovis_dalli",57666.67
"Ovis_nivicola",50500
"Ovis_vignei",60000
"Oxymycterus_rufus",85.5
"Ozotoceros_bezoarticus",35000
"Pachyuromys_duprasi",32.5
"Paguma_larvata",4300
"Pan_paniscus",32733.33
"Pan_troglodytes",37618.18
"Panthera_leo",139500
"Panthera_onca",81150
"Panthera_pardus",42325
"Panthera_tigris",119700
"Pantholops_hodgsonii",27500
"Papio_hamadryas",14028.57
"Pappogeomys_castanops",266
"Paracynictis_selousi",1800
"Paradoxurus_hermaphroditus",3100
"Paradoxurus_zeylonensis",2380
"Parahyaena_brunnea",60200
"Parascalops_breweri",50.18
