#Returns a data frame with the initial values (I), theta estimates (T)
#Log likelihoods (L), sigma (S), and alpha (A)

$bobyqa
             I        T        L          S          A
V30 0.59224490 4.241044  9.841744e+00  0.49719872  3.03557554
V31 0.61263265 4.241044  9.841744e+00  0.49719805  3.03557107
V32 0.63302041 4.241044  9.841744e+00  0.49719748  3.03556738
V33 0.65340816 4.241044  9.841744e+00  0.49719685  3.03556315
V34 0.67379592 4.241044  9.841744e+00  0.49719816  3.03557184
V35 0.69418367 4.241044  9.841744e+00  0.49719704  3.03556442
V36 0.71457143 4.241044  9.841744e+00  0.49719700  3.03556427
V37 0.73495918 4.241044  9.841744e+00  0.49719844  3.03557366
V38 0.75534694 4.241044  9.841744e+00  0.49719779  3.03556941
V39 0.77573469 4.241044  9.841744e+00  0.49719711  3.03556480
V40 0.79612245 4.241044  9.841744e+00  0.49719638  3.03556018
V41 0.81651020 4.241044  9.841744e+00  0.49719621  3.03555895
V42 0.83689796 4.241044  9.841744e+00  0.49719816  3.03557179
V43 0.85728571 4.241044  9.841744e+00  0.49719709  3.03556471
V44 0.87767347 4.241044  9.841744e+00  0.49719778  3.03556929
V45 0.89806122 4.241044  9.841744e+00  0.49719599  3.03555744
V46 0.91844898 4.241046  9.841744e+00  0.49699503  3.03422776
V47 0.93883673 4.241044  9.841744e+00  0.49719908  3.03557785
V48 0.95922449 4.241044  9.841744e+00  0.49719807  3.03557130
V49 0.97961224 4.241044  9.841744e+00  0.49719672  3.03556217
V50 1.00000000 4.241044  9.841744e+00  0.49719625  3.03555929

$rvmmin
             I        T             L          S           A
V1  0.00100000 4.205953 -2.674077e+05 0.00100000  0.00100000
V2  0.02138776 4.205958 -5.449997e+02 0.02138776  0.02138776
V3  0.04177551 4.205973 -1.215517e+02 0.04177551  0.04177551
V4  0.06216327 4.235734  9.805223e+00 6.34467675 39.41825303
V5  0.08255102 4.241044  9.841744e+00 0.49719410  3.03554512
V6  0.10293878 4.241044  9.841744e+00 0.49719461  3.03554846
V7  0.12332653 4.241044  9.841744e+00 0.49719397  3.03554411
V8  0.14371429 4.241044  9.841744e+00 0.49719376  3.03554278
V9  0.16410204 4.241044  9.841744e+00 0.49719386  3.03554356
V10 0.18448980 4.241044  9.841744e+00 0.49719382  3.03554313
V11 0.20487755 4.241044  9.841744e+00 0.49719372  3.03554257
V12 0.22526531 4.241044  9.841744e+00 0.49719374  3.03554276
V13 0.24565306 4.241044  9.841744e+00 0.49719387  3.03554359
V14 0.26604082 4.241044  9.841744e+00 0.49719384  3.03554336
V15 0.28642857 4.241044  9.841744e+00 0.49719391  3.03554385
V16 0.30681633 4.241044  9.841744e+00 0.49719366  3.03554214
V17 0.32720408 4.241044  9.841744e+00 0.49719394  3.03554397
