"","X..3"
"Odocoileus_virginianus",2
"Oenomys_hypoxanthus",0
"Okapia_johnstoni",2
"Oligoryzomys_nigripes",0
"Ommatophoca_rossii",0
"Oncifelis_geoffroyi",2
"Ondatra_zibethicus",0
"Onychomys_leucogaster",0
"Onychomys_torridus",0
"Orcaella_brevirostris",2
"Orcinus_orca",2
"Oreamnos_americanus",2
"Oreotragus_oreotragus",2
"Orycteropus_afer",2
"Oryctolagus_cuniculus",0
"Oryx_leucoryx",2
"Oryzomys_palustris",0
"Oryzomys_subflavus",0
"Otaria_byronia",2
"Otocyon_megalotis",2
"Otolemur_crassicaudatus",2
"Otomys_irroratus",0
"Otomys_sloggetti",0
"Ototylomys_phyllotis",1
"Ourebia_ourebi",2
"Ovibos_moschatus",2
"Ovis_ammon",2
"Ovis_aries",2
"Ovis_canadensis",2
"Ovis_dalli",2
"Oxymycterus_rufus",0
"Ozotoceros_bezoarticus",2
"Pachyuromys_duprasi",0
"Pan_paniscus",2
"Pan_troglodytes",2
"Panthera_leo",2
"Panthera_onca",2
"Panthera_pardus",2
"Panthera_tigris",2
"Papio_hamadryas",2
"Parahyaena_brunnea",2
"Parascalops_breweri",0
"Paraxerus_cepapi",1
"Pecari_tajacu",1
"Pedetes_capensis",1
"Perodicticus_potto",2
"Perognathus_flavus",0
"Perognathus_longimembris",0
"Perognathus_merriami",0
"Perognathus_parvus",0
"Peromyscus_boylii",0
"Peromyscus_californicus",0
"Peromyscus_crinitus",0
"Peromyscus_difficilis",0
"Peromyscus_eremicus",0
"Peromyscus_gossypinus",0
"Peromyscus_hooperi",0
"Peromyscus_interparietalis",0
"Peromyscus_leucopus",0
"Peromyscus_maniculatus",0
"Peromyscus_megalops",0
"Peromyscus_melanocarpus",0
"Peromyscus_melanophrys",1
"Peromyscus_polionotus",0
"Peromyscus_truei",0
"Petaurista_petaurista",2
"Petaurista_philippensis",2
"Petromyscus_collinus",1
"Phacochoerus_aethiopicus",2
"Phenacomys_intermedius",0
"Phenacomys_ungava",0
"Phoca_caspica",0
"Phoca_fasciata",0
"Phoca_groenlandica",0
"Phoca_hispida",1
"Phoca_largha",0
"Phoca_sibirica",2
"Phoca_vitulina",1
"Phocarctos_hookeri",2
"Phocoena_phocoena",2
"Phocoenoides_dalli",2
"Phodopus_roborovskii",0
"Phodopus_sungorus",0
"Physeter_catodon",2
"Pithecia_pithecia",2
"Platanista_gangetica",2
"Podomys_floridanus",0
"Poecilogale_albinucha",2
"Pongo_pygmaeus",2
"Pontoporia_blainvillei",2
"Potamochoerus_porcus",2
"Potos_flavus",2
"Praomys_jacksoni",0
"Praomys_morio",0
"Praomys_tullbergi",0
"Priodontes_maximus",1
"Prionailurus_bengalensis",1
"Prionailurus_viverrinus",2
"Procavia_capensis",2
"Procolobus_badius",2
"Procyon_lotor",2
"Proechimys_cayennensis",0
"Proechimys_guairae",0
"Proechimys_semispinosus",0
"Propithecus_diadema",2
"Propithecus_tattersalli",2
"Propithecus_verreauxi",2
"Proteles_cristatus",2
"Psammomys_obesus",0
"Pseudalopex_culpaeus",2
"Pseudois_nayaur",2
"Pseudomys_albocinereus",0
"Pseudomys_apodemoides",1
"Pseudomys_australis",0
"Pseudomys_delicatulus",0
"Pseudomys_desertor",0
"Pseudomys_fieldi",0
"Pseudomys_fuscus",1
"Pseudomys_gracilicaudatus",0
"Pseudomys_hermannsburgensis",0
"Pseudomys_higginsi",0
"Pseudomys_nanus",0
"Pseudomys_novaehollandiae",0
"Pseudomys_praeconis",0
"Pseudorca_crassidens",2
"Pteromys_volans",1
"Pteronura_brasiliensis",2
"Pudu_puda",2
"Puma_concolor",2
"Rangifer_tarandus",2
"Raphicerus_campestris",2
"Rattus_exulans",0
"Rattus_fuscipes",0
"Rattus_leucopus",0
"Rattus_lutreolus",0
"Rattus_norvegicus",0
"Rattus_rattus",0
"Rattus_tunneyi",0
"Ratufa_macroura",2
"Reithrodontomys_fulvescens",0
"Reithrodontomys_humulis",0
"Reithrodontomys_megalotis",0
"Reithrodontomys_montanus",0
"Rhabdomys_pumilio",0
"Rhinoceros_sondaicus",2
"Rhinoceros_unicornis",2
"Rhizomys_pruinosus",2
"Rhizomys_sumatrensis",2
"Rhombomys_opimus",0
"Rhynchocyon_chrysopygus",0
"Romerolagus_diazi",0
