#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

#Total time to run about 5 minutes (w/ 50 points)

$spg
             I lb    ub        P         L         S
V24  4.6991837 NA NA 485.4257 -8.317766       NaN
V25  4.9030612 NA NA 506.4862 -8.317766       NaN
V26  5.1069388 NA NA 396.8091 -8.317766  57726.57
V27  5.3108163 NA NA 412.6504 -8.317766       NaN
V28  5.5146939 NA NA 569.6679 -8.317766       NaN
V29  5.7185714 NA NA 590.7284 -8.317766       NaN
V30  5.9224490 NA NA 460.1743 -8.317766       NaN
V31  6.1263265 NA NA 476.0156 -8.317766 102253.02
V32  6.3302041 NA NA 653.9101 -8.317766       NaN
V33  6.5340816 NA NA 507.6981 -8.317766       NaN
V34  6.7379592 NA NA 696.0312 -8.317766  74757.31
V35  6.9418367 NA NA 539.3807 -8.317766 522461.97
V36  7.1457143 NA NA 555.2220 -8.317766 122312.99
V37  7.3495918 NA NA 571.0633 -8.317766  76221.17
V38  7.5534694 NA NA 393.5358 -8.317766 170474.12
V39  7.7573469 NA NA 404.1578 -8.317766       NaN
V40  7.9612245 NA NA 414.7798 -8.317766 220058.17
V41  8.1651020 NA NA 425.4018 -8.317766       NaN
V42  8.3689796 NA NA 436.0238 -8.317766 104503.80
V43  8.5728571 NA NA 446.6459 -8.317766       NaN
V44  8.7767347 NA NA 457.2679 -8.317766 198081.98
V45  8.9806122 NA NA 467.8899 -8.317766       NaN
V46  9.1844898 NA NA 478.5119 -8.317766 207284.59
V47  9.3883673 NA NA 489.1339 -8.317766       NaN
V48  9.5922449 NA NA 499.7560 -8.317766       NaN
V49  9.7961224 NA NA 510.3780 -8.317766  76587.31
V50 10.0000000 NA NA 521.0000 -8.317766 147748.68

$nlm
             I lb ub        P         L         S
V1   0.0100000 NA NA 302.2097 -8.317766 116319.21
V2   0.2138776 NA NA 182.6586 -8.317767  13067.08
V3   0.4177551 NA NA 185.3670 -8.317767  14945.43
V4   0.6216327 NA NA 186.4265 -8.317767  15189.54
V5   0.8255102 NA NA 182.0062 -8.317767  12734.22
V6   1.0293878 NA NA 187.7374 -8.317766  16670.04
V7   1.2332653 NA NA 183.1835 -8.317767  13955.18
V8   1.4371429 NA NA 183.5518 -8.317767  13491.49
V9   1.6410204 NA NA 182.7648 -8.317767  13726.58
V10  1.8448980 NA NA 180.3782 -8.317767  12193.09
V11  2.0487755 NA NA 182.0639 -8.317767  12198.60
V12  2.2526531 NA NA 182.9692 -8.317767  13053.75
V13  2.4565306 NA NA 187.3855 -8.317766  16191.43
V14  2.6604082 NA NA 186.8508 -8.317766  15425.52
V15  2.8642857 NA NA 182.8214 -8.317767  13635.52
V16  3.0681633 NA NA 185.0878 -8.317767  14871.49
V17  3.2720408 NA NA 182.9183 -8.317767  13470.80
V18  3.4759184 NA NA 184.7331 -8.317767  14826.00
V19  3.6797959 NA NA 182.7639 -8.317767  13015.59
V20  3.8836735 NA NA 184.0910 -8.317767  15328.14
V21  4.0875510 NA NA 180.0072 -8.317767  12443.78
V22  4.2914286 NA NA 181.1348 -8.317767  12324.52
V23  4.4953061 NA NA 186.3025 -8.317767  15512.28
V24  4.6991837 NA NA 185.3704 -8.317767  14284.70
V25  4.9030612 NA NA 187.9686 -8.317766  15190.31
V26  5.1069388 NA NA 181.4818 -8.317767  12524.47
